fallback_errors,from_block,log_count,saturated,source,status,to_block,target,shard
[],0,444,False,https://robinhoodchain.blockscout.com/api,PASS,1499999,seadrop,0
[],1500000,915,False,https://robinhoodchain.blockscout.com/api,PASS,2999999,seadrop,0
[],3000000,8,False,https://robinhoodchain.blockscout.com/api,PASS,3187499,seadrop,1
[],3187500,3,False,https://robinhoodchain.blockscout.com/api,PASS,3210937,seadrop,1
[],3210938,778,False,https://robinhoodchain.blockscout.com/api,PASS,3222656,seadrop,1
[],3222657,719,False,https://robinhoodchain.blockscout.com/api,PASS,3234374,seadrop,1
[],3234375,698,False,https://robinhoodchain.blockscout.com/api,PASS,3281249,seadrop,1
[],3281250,108,False,https://robinhoodchain.blockscout.com/api,PASS,3374999,seadrop,1
[],3375000,254,False,https://robinhoodchain.blockscout.com/api,PASS,3749999,seadrop,1
[],3750000,72,False,https://robinhoodchain.blockscout.com/api,PASS,3843749,seadrop,1
[],4125000,734,False,https://robinhoodchain.blockscout.com/api,PASS,4218749,seadrop,1
[],4218750,615,False,https://robinhoodchain.blockscout.com/api,PASS,4224609,seadrop,1
[],4224610,681,False,https://robinhoodchain.blockscout.com/api,PASS,4230468,seadrop,1
[],4230469,163,False,https://robinhoodchain.blockscout.com/api,PASS,4242187,seadrop,1
[],6011719,24,False,https://robinhoodchain.blockscout.com/api,PASS,6017578,seadrop,2
[],6017579,392,False,https://robinhoodchain.blockscout.com/api,PASS,6020508,seadrop,2
[],6020509,988,False,https://robinhoodchain.blockscout.com/api,PASS,6020875,seadrop,2
[],6020876,29,False,https://robinhoodchain.blockscout.com/api,PASS,6021241,seadrop,2
[],6021242,3,False,https://robinhoodchain.blockscout.com/api,PASS,6021973,seadrop,2
[],9000000,425,False,https://robinhoodchain.blockscout.com/api,PASS,9005859,seadrop,3
[],9023438,100,False,https://robinhoodchain.blockscout.com/api,PASS,9029297,seadrop,3
[],9029298,78,False,https://robinhoodchain.blockscout.com/api,PASS,9030762,seadrop,3
[],9030763,990,False,https://robinhoodchain.blockscout.com/api,PASS,9032227,seadrop,3
[],9032228,128,False,https://robinhoodchain.blockscout.com/api,PASS,9035156,seadrop,3
[],12000000,755,False,https://robinhoodchain.blockscout.com/api,PASS,12093749,seadrop,4
[],12093750,851,False,https://robinhoodchain.blockscout.com/api,PASS,12140624,seadrop,4
[],12187500,673,False,https://robinhoodchain.blockscout.com/api,PASS,12199218,seadrop,4
[],12199219,904,False,https://robinhoodchain.blockscout.com/api,PASS,12210937,seadrop,4
[],12210938,630,False,https://robinhoodchain.blockscout.com/api,PASS,12222656,seadrop,4
[],12222657,740,False,https://robinhoodchain.blockscout.com/api,PASS,12234374,seadrop,4
,51000000,0,,OUTSIDE_FIXED_HEAD,PASS,50999999,seadrop,17
,54000000,0,,OUTSIDE_FIXED_HEAD,PASS,53999999,seadrop,18
,57000000,0,,OUTSIDE_FIXED_HEAD,PASS,56999999,seadrop,19
,51000000,0,,OUTSIDE_FIXED_HEAD,PASS,50999999,seaport,17
,54000000,0,,OUTSIDE_FIXED_HEAD,PASS,53999999,seaport,18
,57000000,0,,OUTSIDE_FIXED_HEAD,PASS,56999999,seaport,19
