wallet,strict_paid_public_projects,total_paid_quantity,median_first_entry_event_quantile,research_tier
0xd4d6fc28e5f9f535d7ec66d9d2e334025ee74623,10,29,0.5,RESEARCH_TIER_A_REPEAT_TOP_0_3_PERCENT
0x9c429fa261ed07c9b53c6c3f0e8760ffe25e9153,6,97,0.0,RESEARCH_TIER_A_REPEAT_TOP_0_3_PERCENT
0xe6eed2229d948db9d228d9d70b57b585734c65a8,5,13,0.0408163265306122,RESEARCH_TIER_A_REPEAT_TOP_0_3_PERCENT
0x8ebffde6d71234047dcadc04e4a978e4f506f7b8,5,13,0.1111111111111111,RESEARCH_TIER_A_REPEAT_TOP_0_3_PERCENT
0x6f4b0ab0cd540ae13eb91bdc3c526ad3cdbea678,5,14,0.3333333333333333,RESEARCH_TIER_A_REPEAT_TOP_0_3_PERCENT
0x523e5611124fe234d5ccc2b5248828f57289224c,4,38,0.0852272727272727,RESEARCH_TIER_B_REPEAT_TOP_1_7_PERCENT
0xa5806c75aa4b795f68ad1ac29f4684485fc3ba28,4,14,0.1666666666666666,RESEARCH_TIER_B_REPEAT_TOP_1_7_PERCENT
0x5aff793a48022e5f8304029957f8413084156d49,4,6,0.2416666666666666,RESEARCH_TIER_B_REPEAT_TOP_1_7_PERCENT
0x97b28775b84949cb3e8ce35e877abac7a09cb0ff,4,8,0.25,RESEARCH_TIER_B_REPEAT_TOP_1_7_PERCENT
0xced2a82a6d9da12e9513c8e5e2178719942f3b91,4,11,0.3713527851458886,RESEARCH_TIER_B_REPEAT_TOP_1_7_PERCENT
0x384efb6dbea093b057849d85453712eb6e85c7aa,4,28,0.6666666666666666,RESEARCH_TIER_B_REPEAT_TOP_1_7_PERCENT
0x5a7e4c08ae9f40d79e932fb229f6742fa49b4ab3,3,3,0.0,RESEARCH_TIER_B_REPEAT_TOP_1_7_PERCENT
0x07c7d0566e9655a239df24e1d30f2ba28c1ec080,3,3,0.0196078431372549,RESEARCH_TIER_B_REPEAT_TOP_1_7_PERCENT
0x29581a4b2e90bcd55a5e76de6a7448ece402059a,3,3,0.0625,RESEARCH_TIER_B_REPEAT_TOP_1_7_PERCENT
0x4002a2af0bc28709f4ad75cb751a2d9895d4893f,3,3,0.064516129032258,RESEARCH_TIER_B_REPEAT_TOP_1_7_PERCENT
0x39747e8b0de664b50266a373f544a8b07f813229,3,4,0.1142857142857142,RESEARCH_TIER_B_REPEAT_TOP_1_7_PERCENT
0xb48681da61ac75a57cdb3a8d72c3688397a7d5ef,3,4,0.1538461538461538,RESEARCH_TIER_B_REPEAT_TOP_1_7_PERCENT
0x6f7f1b76ce7e40da58dd9e75daec6c1d8676fbf1,3,5,0.1666666666666666,RESEARCH_TIER_B_REPEAT_TOP_1_7_PERCENT
0x814ee5c91488609d4fb7f13cf4b2cb6fb512ce77,3,3,0.2,RESEARCH_TIER_B_REPEAT_TOP_1_7_PERCENT
0xc2ea93368218eef8370d109c142a3fc74d65804c,3,3,0.2083333333333333,RESEARCH_TIER_B_REPEAT_TOP_1_7_PERCENT
0x88750a8939be963120cf9b7d74a25340c538fc61,3,3,0.2321428571428571,RESEARCH_TIER_B_REPEAT_TOP_1_7_PERCENT
0x6e41edd75bc0a11499ed8e64dc6519480d15e122,3,3,0.2424242424242424,RESEARCH_TIER_B_REPEAT_TOP_1_7_PERCENT
0x4753cdf9b6fddc04bb37c036f819b8893fd3bcf3,3,5,0.25,RESEARCH_TIER_B_REPEAT_TOP_1_7_PERCENT
0x541a6cd36973d03151f9354b2b9c794a61e8b05b,3,3,0.3333333333333333,RESEARCH_TIER_B_REPEAT_TOP_1_7_PERCENT
0x56e122f2ba99b9a4ceff0c8af4ad153f7805c4fe,3,3,0.3333333333333333,RESEARCH_TIER_B_REPEAT_TOP_1_7_PERCENT
0x92e02773702c55013e26666e7b24bff0011304fa,3,7,0.5,RESEARCH_TIER_B_REPEAT_TOP_1_7_PERCENT
0x949f6d9738c25cc0f2fe0f7bfa4267ce0af63f8f,3,3,0.5,RESEARCH_TIER_B_REPEAT_TOP_1_7_PERCENT
0xa6f603af68bf64ee648b41e24757c30c1410a1bd,3,13,0.5151515151515151,RESEARCH_TIER_B_REPEAT_TOP_1_7_PERCENT
0xa67504573a809536b78aeb1441702aa3d9b78ec7,3,17,0.5405405405405406,RESEARCH_TIER_B_REPEAT_TOP_1_7_PERCENT
