claim_mismatches,claimed_tx_hashes,copy_alpha_status,exact_mint_proven,exact_purchase_proven,exact_sale_proven,execution_alpha_status,mismatch_details,priority,production_approved,selection_alpha_status,source_record,strength_status,verification_status,wallet
0,1,NOT_EVALUATED,1,0,0,NOT_EVALUATED,[],P1,False,NOT_EVALUATED,"{""known_mints"": [{""block_number"": 46817685, ""collection_name"": ""Robin Club"", ""contract"": ""0x797a0889718c30060fc797659328590e86041fbd"", ""drop_stage_index"": 0, ""log_index"": 50, ""minter"": ""0x02e9f0322620260aeac9110fe167a4d7e907314f"", ""payer"": ""0xb92fe925dc43a0ecde6c8b1a2709c170ec4fff4f"", ""quantity"": 1, ""timestamp_utc"": ""2026-08-26T18:56:53Z"", ""tx_hash"": ""0x0013db778f8162d0783e4e1fb16830f40cf69343512b8088a477bdb87e6bb897"", ""unit_mint_price_wei"": 170000000000000}], ""known_sales"": [], ""priority"": ""P1"", ""priority_points"": 9, ""verification_reasons"": [""ONCHAIN_PAID_PRIMARY_ACTIVITY"", ""STRICT_V04_PAID_PROJECT_ACTIVITY""], ""wallet"": ""0x02e9f0322620260aeac9110fe167a4d7e907314f""}",NOT_EVALUATED,EXACT_EVIDENCE_RESEARCH_ONLY,0x02e9f0322620260aeac9110fe167a4d7e907314f
0,1,NOT_EVALUATED,1,0,0,NOT_EVALUATED,[],P1,False,NOT_EVALUATED,"{""known_mints"": [{""block_number"": 46801857, ""collection_name"": ""Robin Club"", ""contract"": ""0x797a0889718c30060fc797659328590e86041fbd"", ""drop_stage_index"": 0, ""log_index"": 10, ""minter"": ""0x1c552cf70d8c34156318d6dad4c6c69c3e956392"", ""payer"": ""0x1c552cf70d8c34156318d6dad4c6c69c3e956392"", ""quantity"": 10, ""timestamp_utc"": ""2026-08-26T18:30:16Z"", ""tx_hash"": ""0x3f0f43a55c6b227a6997aec39be0f1ea873fa962365d1053d193218ed480e4f9"", ""unit_mint_price_wei"": 170000000000000}], ""known_sales"": [], ""priority"": ""P1"", ""priority_points"": 9, ""verification_reasons"": [""ONCHAIN_PAID_PRIMARY_ACTIVITY"", ""STRICT_V04_PAID_PROJECT_ACTIVITY""], ""wallet"": ""0x1c552cf70d8c34156318d6dad4c6c69c3e956392""}",NOT_EVALUATED,EXACT_EVIDENCE_RESEARCH_ONLY,0x1c552cf70d8c34156318d6dad4c6c69c3e956392
0,1,NOT_EVALUATED,1,0,0,NOT_EVALUATED,[],P1,False,NOT_EVALUATED,"{""known_mints"": [{""block_number"": 45945985, ""collection_name"": ""Robinmilios"", ""contract"": ""0x3e47b18177330d031ea6fc81e4b0ca83fc5a85e3"", ""drop_stage_index"": 0, ""log_index"": 45, ""minter"": ""0x562f6ac10723ef6af9f077a83cf25135fb369612"", ""payer"": ""0x562f6ac10723ef6af9f077a83cf25135fb369612"", ""quantity"": 2, ""timestamp_utc"": ""2026-08-25T18:32:01Z"", ""tx_hash"": ""0xe6ad7eaaeb48164249f83db770c73e1a494c1032047c63c507251c5c35399c12"", ""unit_mint_price_wei"": 274000000000000}], ""known_sales"": [], ""priority"": ""P1"", ""priority_points"": 9, ""verification_reasons"": [""ONCHAIN_PAID_PRIMARY_ACTIVITY"", ""STRICT_V04_PAID_PROJECT_ACTIVITY""], ""wallet"": ""0x562f6ac10723ef6af9f077a83cf25135fb369612""}",NOT_EVALUATED,EXACT_EVIDENCE_RESEARCH_ONLY,0x562f6ac10723ef6af9f077a83cf25135fb369612
0,1,NOT_EVALUATED,1,0,0,NOT_EVALUATED,[],P1,False,NOT_EVALUATED,"{""known_mints"": [{""block_number"": 46801956, ""collection_name"": ""Robin Club"", ""contract"": ""0x797a0889718c30060fc797659328590e86041fbd"", ""drop_stage_index"": 0, ""log_index"": 100, ""minter"": ""0x66d7472b717277277bf8ea3b1d07922731d8ea35"", ""payer"": ""0x66d7472b717277277bf8ea3b1d07922731d8ea35"", ""quantity"": 1, ""timestamp_utc"": ""2026-08-26T18:30:26Z"", ""tx_hash"": ""0x66006b675af42144201034b40ac4c79d61cef0580ac8995dd60155665572551d"", ""unit_mint_price_wei"": 170000000000000}], ""known_sales"": [], ""priority"": ""P1"", ""priority_points"": 9, ""verification_reasons"": [""ONCHAIN_PAID_PRIMARY_ACTIVITY"", ""STRICT_V04_PAID_PROJECT_ACTIVITY""], ""wallet"": ""0x66d7472b717277277bf8ea3b1d07922731d8ea35""}",NOT_EVALUATED,EXACT_EVIDENCE_RESEARCH_ONLY,0x66d7472b717277277bf8ea3b1d07922731d8ea35
0,1,NOT_EVALUATED,1,0,0,NOT_EVALUATED,[],P1,False,NOT_EVALUATED,"{""known_mints"": [{""block_number"": 46029624, ""collection_name"": ""Robinmilios"", ""contract"": ""0x3e47b18177330d031ea6fc81e4b0ca83fc5a85e3"", ""drop_stage_index"": 0, ""log_index"": 7, ""minter"": ""0x745b086f34efd3bfde94612c40f3b03118d0d345"", ""payer"": ""0x745b086f34efd3bfde94612c40f3b03118d0d345"", ""quantity"": 4, ""timestamp_utc"": ""2026-08-25T20:52:23Z"", ""tx_hash"": ""0x54df9da687a35b1cc26bba6bca2b5a09ad7db6e23b1b9d8d271bffc8ae915623"", ""unit_mint_price_wei"": 274000000000000}], ""known_sales"": [], ""priority"": ""P1"", ""priority_points"": 9, ""verification_reasons"": [""ONCHAIN_PAID_PRIMARY_ACTIVITY"", ""STRICT_V04_PAID_PROJECT_ACTIVITY""], ""wallet"": ""0x745b086f34efd3bfde94612c40f3b03118d0d345""}",NOT_EVALUATED,EXACT_EVIDENCE_RESEARCH_ONLY,0x745b086f34efd3bfde94612c40f3b03118d0d345
0,1,NOT_EVALUATED,1,0,0,NOT_EVALUATED,[],P1,False,NOT_EVALUATED,"{""known_mints"": [{""block_number"": 45970266, ""collection_name"": ""Robinmilios"", ""contract"": ""0x3e47b18177330d031ea6fc81e4b0ca83fc5a85e3"", ""drop_stage_index"": 0, ""log_index"": 34, ""minter"": ""0x764611d78dc1a8039a713d33ff614423963ae486"", ""payer"": ""0x764611d78dc1a8039a713d33ff614423963ae486"", ""quantity"": 20, ""timestamp_utc"": ""2026-08-25T19:12:43Z"", ""tx_hash"": ""0xcc5a45b9858804e6c016584f13e17e08ef1a3d4d2c592203a64f067da653ba75"", ""unit_mint_price_wei"": 274000000000000}], ""known_sales"": [], ""priority"": ""P1"", ""priority_points"": 9, ""verification_reasons"": [""ONCHAIN_PAID_PRIMARY_ACTIVITY"", ""STRICT_V04_PAID_PROJECT_ACTIVITY""], ""wallet"": ""0x764611d78dc1a8039a713d33ff614423963ae486""}",NOT_EVALUATED,EXACT_EVIDENCE_RESEARCH_ONLY,0x764611d78dc1a8039a713d33ff614423963ae486
0,1,NOT_EVALUATED,1,0,0,NOT_EVALUATED,[],P1,False,NOT_EVALUATED,"{""known_mints"": [{""block_number"": 46801921, ""collection_name"": ""Robin Club"", ""contract"": ""0x797a0889718c30060fc797659328590e86041fbd"", ""drop_stage_index"": 0, ""log_index"": 27, ""minter"": ""0x9dade467874b15382e6b7dff96486d7126f41116"", ""payer"": ""0x9dade467874b15382e6b7dff96486d7126f41116"", ""quantity"": 1, ""timestamp_utc"": ""2026-08-26T18:30:22Z"", ""tx_hash"": ""0x96c0586b5c93239539c8b0eb40a837504c7a73067aa1355130f0cd08dbaf783b"", ""unit_mint_price_wei"": 170000000000000}], ""known_sales"": [], ""priority"": ""P1"", ""priority_points"": 9, ""verification_reasons"": [""ONCHAIN_PAID_PRIMARY_ACTIVITY"", ""STRICT_V04_PAID_PROJECT_ACTIVITY""], ""wallet"": ""0x9dade467874b15382e6b7dff96486d7126f41116""}",NOT_EVALUATED,EXACT_EVIDENCE_RESEARCH_ONLY,0x9dade467874b15382e6b7dff96486d7126f41116
0,0,NOT_EVALUATED,0,0,0,NOT_EVALUATED,[],P1,False,NOT_EVALUATED,"{""known_mints"": [], ""known_sales"": [], ""priority"": ""P1"", ""priority_points"": 9, ""verification_reasons"": [""GUAP_LIVE_ALPHA_SIGNAL"", ""GUAP_ALPHA_REGISTRY""], ""wallet"": ""0xa006dcb0bf9714eb9feb7f88c19ebcd20cc44cfa""}",NOT_EVALUATED,SOURCE_ONLY_NO_EXACT_TX_HASH,0xa006dcb0bf9714eb9feb7f88c19ebcd20cc44cfa
0,2,NOT_EVALUATED,2,0,0,NOT_EVALUATED,[],P1,False,NOT_EVALUATED,"{""known_mints"": [{""block_number"": 45992147, ""collection_name"": ""Robinmilios"", ""contract"": ""0x3e47b18177330d031ea6fc81e4b0ca83fc5a85e3"", ""drop_stage_index"": 0, ""log_index"": 135, ""minter"": ""0xb475b45d9d56334a86aa4e907ad8573f93fd6cb3"", ""payer"": ""0xb92fe925dc43a0ecde6c8b1a2709c170ec4fff4f"", ""quantity"": 1, ""timestamp_utc"": ""2026-08-25T19:49:27Z"", ""tx_hash"": ""0xf26a26418a70756e99ef75bd9aa90122d9eafa7c4126b8c51ee566caa925f6b0"", ""unit_mint_price_wei"": 274000000000000}, {""block_number"": 46042291, ""collection_name"": ""Robinmilios"", ""contract"": ""0x3e47b18177330d031ea6fc81e4b0ca83fc5a85e3"", ""drop_stage_index"": 0, ""log_index"": 56, ""minter"": ""0xb475b45d9d56334a86aa4e907ad8573f93fd6cb3"", ""payer"": ""0xb92fe925dc43a0ecde6c8b1a2709c170ec4fff4f"", ""quantity"": 1, ""timestamp_utc"": ""2026-08-25T21:13:39Z"", ""tx_hash"": ""0x1c791f750a52b255c0575f9a11693cd885724322e317de961c39199a6a5c6ff7"", ""unit_mint_price_wei"": 274000000000000}], ""known_sales"": [], ""priority"": ""P1"", ""priority_points"": 9, ""verification_reasons"": [""ONCHAIN_PAID_PRIMARY_ACTIVITY"", ""STRICT_V04_PAID_PROJECT_ACTIVITY""], ""wallet"": ""0xb475b45d9d56334a86aa4e907ad8573f93fd6cb3""}",NOT_EVALUATED,EXACT_EVIDENCE_RESEARCH_ONLY,0xb475b45d9d56334a86aa4e907ad8573f93fd6cb3
0,1,NOT_EVALUATED,1,0,0,NOT_EVALUATED,[],P1,False,NOT_EVALUATED,"{""known_mints"": [{""block_number"": 46805648, ""collection_name"": ""PUNKBLOCK"", ""contract"": ""0x6beaf68ea622e803b91b03572569b57eef1df647"", ""drop_stage_index"": 0, ""log_index"": 66, ""minter"": ""0xedb0f2bdf9f5b2d755a1d8a97154b643a15b3c8e"", ""payer"": ""0xedb0f2bdf9f5b2d755a1d8a97154b643a15b3c8e"", ""quantity"": 3, ""timestamp_utc"": ""2026-08-26T18:36:41Z"", ""tx_hash"": ""0xcacc6375301c1714f301c8a5117344097e03abe0275438cf3cb7a8f1c22f7653"", ""unit_mint_price_wei"": 50000000000000}], ""known_sales"": [], ""priority"": ""P1"", ""priority_points"": 9, ""verification_reasons"": [""GUAP_ALPHA_REGISTRY"", ""ONCHAIN_PAID_PRIMARY_ACTIVITY""], ""wallet"": ""0xedb0f2bdf9f5b2d755a1d8a97154b643a15b3c8e""}",NOT_EVALUATED,EXACT_EVIDENCE_RESEARCH_ONLY,0xedb0f2bdf9f5b2d755a1d8a97154b643a15b3c8e
