contract_address,seadrop_quantity,collection_name
0x207d22fa76c16dfe88dd31b3a977c9df8a2f60b7,40,Rabbit Hood Society
0x3e47b18177330d031ea6fc81e4b0ca83fc5a85e3,28,Robinmilios
0x44a49a426a93131eca866d03d6f7fcd1cd784222,141,Robinhood Spookers
0x46bc76303cdee97ea01d5a61f4ca80b5a85d3397,10,DEAD SHADE
0x6beaf68ea622e803b91b03572569b57eef1df647,394,PUNKBLOCK
0x797a0889718c30060fc797659328590e86041fbd,14,Robin Club
0x972255d76e8aa5c82caaddedb1f23e074a05be13,4,We
0xbc25caa157b99e0a918a2beebce2e93e8f088683,46,StonkFrankiez
0xc5d4caf5224f252bde80fbe12acbac6b12b34a3b,610,9 LIVES
0xf2e9ad74ac89ae7aae32d37b7561c1535f2402eb,7,Milextasy
