nft_contract,seaport_sale_rows,unique_sellers,unique_buyers,first_sale_block,last_sale_block,gross_payment_wei,event_count,minted_quantity,unique_minters,observed_prices_wei,first_mint_block,last_mint_block
0xef57764b2816ef6bcfb2af610503c063058038f6,43,24,21,41511796,41916270,1357000000000000,26,63,17,[10000000000000],41474599,41476223
0x8256c12452584bf8e0635ae981fc8e188c3fdd2a,28,13,21,46754007,46775243,5748870000000000,9,16,8,[250000000000000],46744568,46745768
0x880f57ca67069ab3dd3a83a7d4c4803ad6d39e5b,19,14,16,42540671,42609517,2822136000000000,4,28,3,[56000000000000],42529122,42529192
0x613e755e72ac56ff2e3bb8509cb93946f6ff03ed,15,7,13,44664305,44690346,4099720000000000,13,22,11,[400000000000000],44653125,44654236
0x656a102cd25ca9ab4feae6b1866069e226b75615,14,7,12,40357689,40364161,3940965000000000,10,37,8,[150000000000000],40346246,40346885
0xc561782748c50b29e8de147b8ac7420e4cb0c39c,12,3,8,45353725,45358340,7761810000000000,19,198,17,[130000000000000],45338120,45340562
0xa8b88736fc247fd8e9160f9f8203f242c31755d3,10,5,8,42452221,42480031,1698290000000000,6,62,6,[85000000000000],42441502,42442381
0xa2c93f004e51f2bb80f29b732bf80ac9ef2c7f32,10,4,5,41108274,41157354,915940000000000,12,40,12,[25000000000000],41095150,41096968
0xbe26fe2bc747302b8eef495953df3479cc2f38f4,9,7,8,44349536,44422895,1145620000000000,2,3,2,[123000000000000],44339105,44339159
0x0b57c9ab9f38a01a24a7eaa3b515978c028ef437,8,8,7,44079262,44111386,4385295000000000,18,32,12,[500000000000000],44069617,44070437
0x9b2b7848a89d7ad2e5c51826e32ccb4f4b1a6d25,8,2,8,44372446,44541911,1376710000000000,17,299,13,[15000000000000],44361679,44362744
0xce0e0a02f94827c96d4936c822cd00d8af9592dc,7,1,5,45967374,46021309,2148935000000000,8,50,8,[75000000000000],45955608,45955816
0xb6314b11cfa4253db3ef080b7b795d03172c5ea9,7,6,6,40860795,40868563,1592000000000000,14,32,11,[50000000000000],40851208,40852746
0x76d4f34df447a98898e1b2c24a44a66236a08db9,5,5,4,40601319,40601694,1089500000000000,15,44,8,[100000000000000],40593043,40594518
0xc5617bb59e6a0353b8f006da13f34efb82ff4fc4,3,2,3,45046389,45051442,1287270000000000,7,158,6,[65000000000000],45034819,45034849
0x1d4d5b7b012e6331e1e4308a3fb4f978188a4873,3,2,2,42586908,42590106,1376250000000000,2,3,2,[400000000000000],42579267,42579432
0xa72e57be8eecc73a77a2853da2ad3ada592ce492,2,1,2,44370643,44374281,4140280000000000,6,166,4,[650000000000000],44361361,44361740
0x507058649cd893ec452afa7d3c62bcc326b12cde,2,2,2,43757208,44052292,387200000000000,2,6,1,[37000000000000],43680053,43680084
0x63acd7c8be66258c683d7916f67815cb222b9cd0,2,2,2,46488492,46504850,1402990000000000,11,53,7,[100000000000000],46476076,46476840
0xb7e1172f8cb0fd9e0192584baea0edbb1b044d9f,2,2,2,46478522,46543473,78000000000000,12,33,9,[23000000000000],46467509,46469034
0x64eef73d8f213565d4a7b3720db9063163d60bb4,1,1,1,46029022,46029022,796000000000000,20,61,12,[117000000000000],46006456,46008396
0xacdecb3cb2909a2ec744864dc4776f59502a28d6,1,1,1,43991023,43991023,1193990000000000,26,72,16,[125000000000000],43934287,43934969
0x28346d30d03dcce7d03b3602cced95b576e13d0e,1,1,1,45310008,45310008,1940240000000000,10,127,9,[150000000000000],45279734,45280243
0xb9893a496360a21f5861912ea7ac458bc7d9ef0f,1,1,1,39888890,39888890,197000000000000,4,6,3,[133700000000000],39882017,39882741
0x1637096453f67ea4f5ce39e8a4e550970b0c782a,1,1,1,45042165,45042165,507000000000000,5,15,4,[100000000000000],45032653,45032949
0xc9127ab661e219bf813c5a839df2f64505c48aa6,1,1,1,45285461,45285461,2756120000000000,8,24,7,[200000000000000],45278939,45279053
